commune,code_commune,code_postal,type_local,surface_m2,pieces,valeur_fonciere,prix_m2,date_mutation
Bouguenais,44020,44340,Maison,78.0,4.0,420000.0,5384.62,2023-09-21
Bouguenais,44020,44340,Maison,79.0,4.0,280000.0,3544.3,2023-08-03
Bouguenais,44020,44340,Maison,79.0,3.0,235000.0,2974.68,2023-08-18
Bouguenais,44020,44340,Maison,80.0,5.0,280000.0,3500.0,2023-01-31
Bouguenais,44020,44340,Maison,80.0,4.0,328500.0,4106.25,2023-03-31
Bouguenais,44020,44340,Maison,81.0,4.0,238000.0,2938.27,2023-01-12
Bouguenais,44020,44340,Maison,81.0,4.0,220500.0,2722.22,2023-03-03
Bouguenais,44020,44340,Maison,81.0,4.0,225720.0,2786.67,2023-10-23
Bouguenais,44020,44340,Maison,82.0,4.0,300000.0,3658.54,2023-08-28
Bouguenais,44020,44340,Maison,82.0,4.0,249000.0,3036.59,2023-09-11
Bouguenais,44020,44340,Maison,83.0,4.0,310000.0,3734.94,2023-01-13
Bouguenais,44020,44340,Maison,83.0,3.0,295000.0,3554.22,2023-04-24
Bouguenais,44020,44340,Maison,83.0,4.0,298000.0,3590.36,2023-05-02
Bouguenais,44020,44340,Maison,83.0,4.0,305000.0,3674.7,2023-07-18
Bouguenais,44020,44340,Maison,84.0,5.0,374000.0,4452.38,2023-11-10
Bouguenais,44020,44340,Maison,84.0,4.0,310000.0,3690.48,2023-12-21
Bouguenais,44020,44340,Maison,85.0,4.0,305000.0,3588.24,2023-01-24
Bouguenais,44020,44340,Maison,85.0,5.0,246000.0,2894.12,2023-03-20
Bouguenais,44020,44340,Maison,85.0,3.0,245000.0,2882.35,2023-06-22
Bouguenais,44020,44340,Maison,86.0,4.0,405000.0,4709.3,2023-03-30
Bouguenais,44020,44340,Maison,86.0,4.0,405000.0,4709.3,2023-03-30
Bouguenais,44020,44340,Maison,86.0,4.0,275000.0,3197.67,2023-07-11
Bouguenais,44020,44340,Maison,86.0,3.0,256000.0,2976.74,2023-11-17
