commune,code_commune,code_postal,type_local,surface_m2,valeur_fonciere,prix_m2,date_mutation
Lyon 1er Arrondissement,69381,69001,Appartement,70.0,375000.0,5357.14,2024-01-12
Chaponost,69043,69630,Appartement,46.0,207240.0,4505.22,2024-01-09
Lyon 4e Arrondissement,69384,69004,Appartement,34.0,129000.0,3794.12,2024-01-15
Lyon 5e Arrondissement,69385,69005,Appartement,95.0,325000.0,3421.05,2024-01-17
Chamelet,69039,69620,Maison,74.0,265800.0,3591.89,2024-01-19
Écully,69081,69130,Appartement,74.0,225000.0,3040.54,2024-01-09
Légny,69111,69620,Maison,136.0,690550.0,5077.57,2024-01-12
Légny,69111,69620,Maison,136.0,690550.0,5077.57,2024-01-12
Mornant,69141,69440,Maison,91.0,377000.0,4142.86,2024-01-10
Écully,69081,69130,Appartement,45.0,230000.0,5111.11,2024-01-12
Brignais,69027,69530,Appartement,64.0,316000.0,4937.5,2024-01-15
Oullins,69149,69600,Appartement,95.0,195000.0,2052.63,2024-01-10
Champagne-au-Mont-d'Or,69040,69410,Appartement,79.0,300000.0,3797.47,2024-01-16
Lyon 1er Arrondissement,69381,69001,Appartement,33.0,144000.0,4363.64,2024-01-19
Chiroubles,69058,69115,Maison,108.0,428000.0,3962.96,2024-01-16
Condrieu,69064,69420,Maison,92.0,152000.0,1652.17,2024-01-08
Tarare,69243,69170,Appartement,62.0,747000.0,12048.39,2024-01-18
Tarare,69243,69170,Appartement,30.0,747000.0,24900.0,2024-01-18
Tarare,69243,69170,Appartement,50.0,747000.0,14940.0,2024-01-18
Tarare,69243,69170,Appartement,105.0,747000.0,7114.29,2024-01-18
Tarare,69243,69170,Appartement,49.0,747000.0,15244.9,2024-01-18
Tarare,69243,69170,Appartement,35.0,747000.0,21342.86,2024-01-18
Tarare,69243,69170,Appartement,31.0,747000.0,24096.77,2024-01-18
Tarare,69243,69170,Appartement,58.0,747000.0,12879.31,2024-01-18
Tarare,69243,69170,Appartement,58.0,747000.0,12879.31,2024-01-18
Tarare,69243,69170,Appartement,58.0,747000.0,12879.31,2024-01-18
Tarare,69243,69170,Appartement,48.0,747000.0,15562.5,2024-01-18
Tarare,69243,69170,Appartement,60.0,747000.0,12450.0,2024-01-18
Tarare,69243,69170,Appartement,60.0,747000.0,12450.0,2024-01-18
Tarare,69243,69170,Appartement,62.0,747000.0,12048.39,2024-01-18
Irigny,69100,69540,Maison,108.0,363760.0,3368.15,2024-01-19
Sainte-Foy-lès-Lyon,69202,69110,Appartement,103.0,385000.0,3737.86,2024-01-02
Arnas,69013,69400,Maison,121.0,475020.0,3925.79,2024-01-19
Tassin-la-Demi-Lune,69244,69160,Appartement,64.0,163000.0,2546.88,2024-01-17
Lyon 9e Arrondissement,69389,69009,Appartement,51.0,130000.0,2549.02,2024-01-19
Lyon 9e Arrondissement,69389,69009,Appartement,85.0,170000.0,2000.0,2024-01-19
Tassin-la-Demi-Lune,69244,69160,Appartement,30.0,127895.0,4263.17,2024-01-18
Caluire-et-Cuire,69034,69300,Appartement,44.0,259000.0,5886.36,2024-01-10
Cours,69066,69470,Maison,90.0,110000.0,1222.22,2024-01-19
Cours,69066,69470,Maison,85.0,33000.0,388.24,2024-01-11
Lyon 2e Arrondissement,69382,69002,Appartement,16.0,82000.0,5125.0,2024-01-04
Genay,69278,69730,Maison,94.0,526800.0,5604.26,2024-01-19
Genay,69278,69730,Maison,94.0,526800.0,5604.26,2024-01-19
Vaugneray,69255,69670,Maison,100.0,556980.0,5569.8,2024-01-11
Villefranche-sur-Saône,69264,69400,Appartement,40.0,125000.0,3125.0,2024-01-24
Arnas,69013,69400,Maison,106.0,439811.0,4149.16,2024-01-18
Lyon 9e Arrondissement,69389,69009,Appartement,64.0,150196.0,2346.81,2024-01-10
Lyon 2e Arrondissement,69382,69002,Appartement,210.0,220000.0,1047.62,2024-01-09
Lyon 4e Arrondissement,69384,69004,Appartement,98.0,788000.0,8040.82,2024-01-16
Belleville-en-Beaujolais,69019,69220,Maison,106.0,471480.0,4447.92,2024-01-22
Belleville-en-Beaujolais,69019,69220,Maison,106.0,471480.0,4447.92,2024-01-22
Porte des Pierres Dorées,69159,69640,Maison,118.0,370850.0,3142.8,2024-01-23
Porte des Pierres Dorées,69159,69640,Maison,118.0,370850.0,3142.8,2024-01-23
Oullins,69149,69600,Appartement,45.0,194020.0,4311.56,2024-01-11
Rochetaillée-sur-Saône,69168,69270,Maison,110.0,280000.0,2545.45,2024-01-19
Villefranche-sur-Saône,69264,69400,Appartement,41.0,132000.0,3219.51,2024-01-18
Odenas,69145,69460,Maison,146.0,359450.0,2461.99,2024-01-05
Saint-Georges-de-Reneins,69206,69830,Maison,188.0,394600.0,2098.94,2024-01-22
Saint-Georges-de-Reneins,69206,69830,Maison,188.0,394600.0,2098.94,2024-01-22
Limas,69115,69400,Appartement,71.0,171900.0,2421.13,2024-01-04
Belleville-en-Beaujolais,69019,69220,Appartement,59.0,135000.0,2288.14,2024-01-16
Lyon 5e Arrondissement,69385,69005,Appartement,79.0,368920.0,4669.87,2024-01-17
Aigueperse,69002,69790,Maison,62.0,159000.0,2564.52,2024-01-10
Lyon 4e Arrondissement,69384,69004,Appartement,64.0,244900.0,3826.56,2024-01-16
Cours,69066,69470,Maison,60.0,38500.0,641.67,2024-01-12
Tarare,69243,69170,Appartement,25.0,110600.0,4424.0,2024-01-22
Thizy-les-Bourgs,69248,69240,Appartement,22.0,14300.0,650.0,2024-01-24
